37600100070,1762,1779
37600100080,74,74
37600100100,,10
37600100108,0,
37600100110,0,14
37600100120,0,
37600100140,146,146
37600100161,0,
37600100170,499,521
37600100180,0,
37600100200,1574,1574
37600100210,207,207
37600100215,0,
37600100240,40,40
37600100260,822,822
37600100270,305,305
37600100280,1335,1335
37600100420,1955,1967
37600100535,0,
37600100558,0,
37600100575,0,
37600100660,442,461
37600100900,0,
37600101001,10,12
37600101250,0,
37600102000,113,113
37600102065,0,
37600102090,590,614
37600102403,0,
37600102620,450,451
37600102651,0,
37600103001,991,991
37600103800,0,
37600104600,46,46
37600105360,561,561
37600105371,293,295
37600105375,1621,1623
37600105700,0,
37600106400,427,436
37600106500,723,741
37600106610,1,1
37600106621,532,535
37600106730,64,67
37600106735,0,
37600106740,3145,3162
37600107501,39,42
37600109000,0,
37600110005,0,
37600110100,0,
37600110101,8660,8673
37600111000,5280,5288
37600111270,3,3
37600111300,868,878
37600111310,1416,1416
37600111501,204,205
37600111621,0,
37600112000,3004,3004
37600112100,991,991
37600112251,0,
37600112280,0,
37600112370,814,814
37600112501,1353,1353
37600113252,357,371
37600113370,631,634
37600113503,0,15
37600113750,872,881
37600113761,505,511
37600113781,1654,1668
37600113790,769,786
37600113800,799,799
37600114251,238,258
37600114670,655,655
37600115430,43,43
37600115620,261,278
37600116100,0,
37600117251,837,839
37600117709,275,7
37600117800,1508,1508
37600118450,4035,4050
37600118500,645,645
37600118550,96,96
37600118690,0,
37600119002,479,493
37600119501,379,379
37600120000,696,705
37600120020,234,242
37600120030,776,776
37600120040,1867,1867
37600121001,2810,2814
37600122003,195,195
37600122301,381,391
37600123050,651,655
37600123251,1276,1285
37600123260,414,416
37600123270,407,414
37600123600,63,69
37600123610,343,346
37600123700,292,300
37600123851,2432,2439
37600123870,545,546
37600124501,335,335
37600126351,0,
37600127520,0,
37600131202,434,435
37600131600,0,
37600131601,638,643
37600131752,952,952
37600135050,0,
37600135100,0,
37600135502,3105,3105
37600137851,724,724
37600138000,886,892
37600138502,221,221
37600139102,0,8
37600140500,161,167
37600141003,323,328
37600141250,268,272
37600142250,658,667
37600143390,347,357
37600143410,0,
37600143420,426,432
37600143430,519,519
37600143850,0,
37600143860,1761,1761
37600143865,347,351
37600144120,124,125
37600144130,438,438
37600144160,565,573
37600144170,174,178
37600144306,679,694
37600144551,758,769
37600144760,704,704
37600146870,2580,2588
37600147500,0,
37600147600,227,244
37600148810,2064,2064
37600148825,0,
37600148870,994,999
37600148880,953,982
37600148915,0,
37600148950,53,53
37600148955,486,500
37600148960,985,1003
37600148970,475,475
37600149000,164,170
37600149150,328,335
37600149990,65,65
37600150000,362,371
37600150070,0,2
37600150500,158,158
37600150750,545,
37600151000,590,590
37600151200,236,241
37600151210,98,98
37600151251,77,77
37600151460,0,
37600151500,76,76
37600151550,672,672
37600151750,375,375
37600151760,343,343
37600152540,361,362
37600153000,324,329
37600153010,87,87
37600153015,0,
37600153021,282,334
37600153020,0,
37600153030,,120
37600153250,273,279
37600153300,0,
37600153350,180,180
37600153400,2157,2157
37600153600,336,336
37600153700,537,537
37600153740,320,320
37600155011,52,57
37600155020,0,9
37600155025,0,
37600155030,83,86
37600155040,444,444
37600155050,805,808
37600155055,0,
37600155060,97,97
37600155068,0,
37600155080,1020,1031
37600155100,5933,6437
37600155110,5577,5577
37600155120,168,170
37600155150,3779,3783
37600155170,1205,1218
37600155310,1090,1105
37600155340,553,566
37600155380,40,48
37600155400,408,408
37600155430,60,60
37600155460,823,823
37600155470,745,752
37600155490,705,724
37600155497,0,
37600155500,16,16
37600155505,0,
37600155540,116,116
37600155550,44,53
37600155580,168,182
37600155620,2829,2894
37600155650,47,56
37600155750,436,444
37600155800,2014,2014
37600155910,433,439
37600155920,642,645
37600155965,0,
37600155990,0,
37600156000,197,197
37600156120,570,574
37600156130,271,13
37600156140,20,20
37600156190,239,239
37600156200,50,50
37600156210,0,11
37600156230,227,233
37600156240,502,514
37600156260,91,103
37600156300,176,
37600156400,39,39
37600156440,10,15
37600156450,267,273
37600156550,89,89
37600156600,389,429
37600156750,1462,1462
37600156900,2303,2327
37600157100,149,179
37600157360,799,822
37600158650,0,
37600158680,0,
37600158710,422,442
37600158780,803,803
37600158810,0,
37600158820,152,158
37600158880,0,
37600160120,468,474
37600160130,120,120
37600160140,1194,1194
37600160150,500,500
37600160160,0,
37600160240,743,743
37600160280,1651,1651
37600160360,150,173
37600160370,927,937
37600160410,300,349
37600160490,118,144
37600160600,38,
37600160610,22,39
37600160620,58,70
37600160630,249,249
37600160650,214,
37600160680,1799,1799
37600160690,1369,1384
37600160710,0,
37600160810,373,373
37600160830,103,125
37600160860,73,80
37600160870,1051,1060
37600160900,498,502
37600160910,16,16
37600160920,0,
37600160940,229,247
37600160960,65,68
37600160970,0,
37600160990,73,78
37600161110,5,5
37600161120,2,2
37600161130,3,5
37600161140,3,3
37600161150,4,4
37600161160,5,5
37600161170,1,1
37600161050,0,
37600161200,1028,1029
37600161300,467,479
37600161350,1993,2008
37600161450,304,304
37600161480,2,2
37600161500,15,22
37600161560,41,106
