37600300020,1770,1770
,,
37600300504,1984,2045
,,
37600301000,0,0
,,
37600301200,395,400
,,
37600301100,1149,1163
,,
37600301508,323,325
,,
37600301900,49,49
,,
37600302007,614,623
,,
37600302000,567,568
,,
37600303501,1732,1732
,,
37600303101,284,365
,,
37600303120,893,914
,,
37600304002,112,113
,,
37600304100,0,45
,,
37600305801,317,325
,,
37600306201,146,146
,,
37600307620,388,396
,,
37600307640,509,523
,,
37600311003,1867,1879
,,
37600311254,915,922
,,
37600311400,659,672
,,
37600311460,707,718
,,
37600311541,234,239
,,
37600312004,197,197
,,
37600312503,153,153
,,
37600313503,595,608
,,
37600314006,904,923
,,
37600314550,429,434
,,
37600314500,326,331
,,
37600314460,717,756
,,
37600316005,2916,2947
,,
37600316100,91,98
,,
37600318001,1247,1260
,,
37600319008,1,11
,,
37600319251,419,419
,,
37600320502,478,490
,,
37600320541,874,877
,,
37600322000,1443,1478
,,
37600323010,203,207
,,
37600324150,770,770
,,
37600324510,24,24
,,
37600324500,4071,4089
,,
37600324800,2079,2140
,,
37600325250,1393,1490
,,
37600325501,931,931
,,
37600326000,1740,1740
,,
37600328005,593,607
,,
37600328100,244,249
,,
37600328756,461,461
,,
37600329504,1065,1092
,,
37600329400,384,389
,,
37600329460,648,671
,,
37600335010,99982,99982
,,
37600335001,297,309
,,
37600337550,339,339
,,
37600337540,564,587
,,
37600337600,345,363
,,
37600337800,1151,1173
,,
37600337860,14,18
,,
37600338002,19,19
,,
37600338250,4414,4432
,,
37600338300,64,64
,,
37600338500,939,939
,,
37600338600,2015,2029
,,
37600338690,79,79
,,
37600339530,1272,1272
,,
37600339590,440,443
,,
37600339560,132,132
,,
37600339550,216,217
,,
37600340201,373,383
,,
37600340301,821,821
,,
37600340500,15,38
,,
37600340410,422,429
,,
37600340450,875,885
,,
37600340600,1134,1136
,,
37600340700,1152,1158
,,
37600341020,187,187
,,
37600341001,1514,1548
,,
37600343002,344,344
,,
37600344000,819,850
,,
37600346001,1052,1052
,,
37600346660,716,716
,,
37600347051,480,486
,,
37600347501,1709,1735
,,
37600348502,46,46
,,
37600348800,594,611
