37601000010,360,360,,360,366,,366,375
37601000080,31,31,,31,31,,31,32
37601001010,12,12,,12,12,,12,12
37601001410,987,44,,44,84,,84,120
37601001420,429,429,,429,429,,429,429
37601001430,350,368,,368,375,,375,381
37601001460,607,607,,607,608,,608,609
37601001480,142,1,,1,1,,1,2
37601001510,1298,1299,,1299,1299,,1299,1299
37601001560,2687,2687,,2687,2687,,2687,2687
37601001570,24,40,,40,57,,57,97
37601001590,177,180,,180,182,,182,187
37601001600,855,879,,879,899,,899,919
37601001610,10,14,,14,20,,20,29
37601001850,770,770,,770,770,,770,770
37601001880,17,17,,17,17,,17,17
37601001900,412,421,,421,429,,429,442
37601001920,690,710,,710,724,,724,740
37601001930,18,18,,18,18,,18,18
37601002010,837,837,,837,837,,837,837
37601002020,310,320,,320,327,,327,341
37601002030,713,713,,713,713,,713,713
37601002040,297,307,,307,316,,316,326
37601002070,266,274,,274,283,,283,292
37601002075,3,7,,7,11,,11,15
37601002080,5,8,,8,11,,11,11
37601002090,5,9,,9,25,,25,29
37601002122,145,161,,161,172,,172,179
37601002130,358,6,,6,12,,12,20
37601002160,589,590,,590,596,,596,602
37601002180,196,202,,202,213,,213,221
37601002190,177,177,,177,177,,177,177
37601002200,463,463,,463,463,,463,463
37601002210,618,637,,637,730,,730,767
37601002240,5,5,,5,7,,7,8
37601002250,12,18,,18,23,,23,32
37601002260,7,8,,8,11,,11,11
37601002270,3,5,,5,8,,8,10
37601002280,4,6,,6,11,,11,13
37601002285,4,10,,10,11,,11,28
37601002290,6,8,,8,15,,15,16
37601002300,161,170,,170,176,,176,182
37601002310,7,8,,8,13,,13,14
37601002320,0,0,,0,0,,0,1
37601002330,717,721,,721,723,,723,725
37601002340,6,9,,9,14,,14,22
37601002610,1042,1071,,1071,1101,,1101,1122
37601002650,307,311,,311,314,,314,318
37601002660,876,876,,876,876,,876,876
37601002680,1116,1139,,1139,1163,,1163,1187
37601003000,1753,1758,,1758,1761,,1761,1765
37601003010,215,222,,222,229,,229,229
37601003101,572,580,,580,588,,588,597
37601003300,476,496,,496,502,,502,511
37601003500,1137,976,,976,1014,,1014,1073
37601003510,663,674,,674,683,,683,693
37601003540,693,702,,702,709,,709,719
37601003700,310,310,,310,310,,310,310
37601003750,675,678,,678,684,,684,688
37601004500,327,336,,336,343,,343,349
37601005000,467,491,,491,512,,512,531
37601005010,252,252,,252,252,,252,252
37601005020,119,119,,119,119,,119,119
37601005030,1093,1096,,1096,1098,,1098,1099
37601005060,244,244,,244,244,,244,244
37601005080,434,435,,435,439,,439,442
37601005100,2401,2415,,2415,2430,,2430,2442
37601005110,185,191,,191,196,,196,202
37601005150,133,139,,139,146,,146,148
37601005810,99,99,,99,99,,99,99
37601005820,3,3,,3,3,,3,3
37601005840,101,108,,108,111,,111,115
37601005880,150,150,,150,150,,150,150
37601005900,96,96,,96,96,,96,96
37601005910,3068,3068,,3068,3068,,3068,3068
37601005920,84,87,,87,89,,89,90
37601005930,209,219,,219,235,,235,242
37601005940,5,6,,6,6,,6,6
37601006000,212,212,,212,212,,212,212
37601006010,87,91,,91,99,,99,108
