ACCOUNT NUMBER,PR JUNE 22,CR JULY 22
37600500014,78,81
37600500250,,
37600500502,2205,2208
37600501100,89,
37600501150,2864,2882
37600501202,1318,1351
37600501300,5673,
37600501600,3,
37600502001,2912,2912
37600502500,106,
37600502250,221,
37600503000,1521,
37600503500,780,
37600504004,1476,1491
37600504255,1237,1237
37600504509,637,
37600505250,216,
37600505300,570,
37600505500,242,242
37600505600,941,948
37600505700,571,573
37600505750,87,
37600505800,601,604
37600506009,848,850
37600506511,6,6
37600507502,1510,
37600507600,612,
37600507701,47,
37600507801,1633,1633
37600508002,77,77
37600508501,924,
37600510505,1307,
37600510600,3351,
37600510620,144,152
37600510650,226,226
37600510700,308,
37600510750,400,
37600512001,302,307
37600512501,1021,
37600512520,512,512
37600513006,611,611
37600513502,148,148
37600514003,,
37600514004,196,196
37600514250,2963,2977
37600514509,,
37600515050,1412,1412
37600515201,30,
37600516401,1256,1261
37600516502,2292,2298
37600516510,,
37600516570,41,
37600516700,16,
37600517003,300,
37600517501,129,129
37600517600,4590,
37600517650,,
37600517651,491,
37600517700,270,297
37600518000,505,506
37600518500,322,339
37600519010,1360,1395
37600520000,2761,
37600520500,218,
37600521008,7,
37600521502,1133,1142
37600521510,60,60
37600522502,1133,1142
37600523000,3240,3240
37600524003,0,
37600524300,53,54
37600524600,1390,
37600525000,62,63
37600525251,58,64
37600525302,977,983
37600525600,239,
37600525800,1703,1730
37600526301,990,1003
37600527005,367,367
37600527504,191,193
37600528505,85,85
37600528520,20,
37600528530,261,261
37600529002,421,421
37600530000,120,
37600530100,4,
37600530500,1869,
37600531007,124,137
37600531600,114,
37600532000,317,323
37600532010,,
37600533011,218,222
37600533504,1000,
37600533756,362,
37600534250,659,663
37600534751,1137,1137
37600535006,2183,2201
37600536000,133,133
37600537001,118,
37600538005,683,702
37600538105,396,
37600538251,291,290
37600538504,302,
37600538600,155,170
37600539000,1559,
37600539121,510,510
37600539130,112,111
37600539140,110,111
37600539145,1621,1625
37600539203,878,880
37600539254,275,
37600539300,250,254
37600539340,1346,1373
37600539345,,
37600539350,409,419
37600539360,288,293
37600539370,556,564
37600539380,244,248
37600539450,450,
37600539508,111,
37600539602,1232,1251
37600539800,47500,
37600540007,194,198
37600540770,394,394
37600540791,797,
37600540810,5542,
37600540850,45,45
37600540900,449,
37600541100,1389,1415
37600541500,198,
37600541756,172,177
37600542008,471,486
37600542500,38,
37600542580,584,584
37600543001,284,294
37600543101,1108,1114
37600543251,,
37600543252,0,
37600543300,459,
37600543420,,
37600544252,799,
37600545001,501,
37600545500,1007,1007
37600545550,34,
37600546500,160,
37600546600,25,
37600547000,1325,1325
37600547500,786,823
37600547750,80,
37600547760,208,
37600548001,4091,
37600548501,447,447
37600548550,637,
37600548600,1642,
37600548751,586,
37600549000,,
37600549500,1343,
,,
,,
