37600200751,0,
37600201000,559,565
37600201250,0,
37600201280,78,78
37600201300,1138,1148
37600201400,208,208
37600201500,178,178
37600201521,167,171
37600201530,157,157
37600201580,316,316
37600202500,0,
37600202510,58,65
37600202520,485,507
37600202590,71,75
37600203006,117,126
37600205503,287,290
37600206100,703,703
37600206150,2855,2855
37600206200,1930,1931
37600206450,375,378
37600206460,91,91
37600207000,1443,1443
37600208800,0,
37600210001,607,607
37600210101,154,154
37600211000,719,729
37600212001,362,366
37600212753,0,
37600215004,921,925
37600215310,0,
37600215400,0,
37600215510,68,68
37600216400,1299,1320
37600216420,499,504
37600216430,953,963
37600216502,832,853
37600216650,291,291
37600217000,251,255
37600217020,0,0
37600217050,108,108
37600217070,0,
37600217250,276,281
37600217260,153,163
37600217280,21,21
37600217290,374,374
37600217300,470,482
37600217330,1202,1210
37600217340,1070,1091
37600217400,939,941
37600217411,89,89
37600217440,564,583
37600217445,107,107
37600217450,103,103
37600217490,102,102
37600217480,350,352
37600217500,461,464
37600217530,214,217
37600217538,0,
37600217541,78,78
37600217561,579,584
37600217570,560,567
37600217580,0,
37600217600,289,289
37600217620,0,
37600217640,866,866
37600217650,2360,2360
37600217660,0,
37600217680,10,16
37600217700,677,691
37600217722,0,
37600217730,299,299
37600217740,236,238
37600217770,186,195
37600217790,777,800
37600217810,175,202
37600217850,103,103
37600217881,232,232
37600217930,43,43
37600217973,0,
37600217991,205,205
37600218000,414,431
37600218021,399,3
37600218035,119,119
37600218040,0,
37600218070,1338,1338
37600218090,749,757
37600218100,162,164
37600218110,0,
37600218130,305,308
37600218150,1415,1425
37600218210,1303,1309
37600218220,220,223
37600218230,32,32
37600218260,387,390
37600218270,1010,1010
37600218280,467,469
37600218307,121,124
37600218350,189,189
37600218360,362,369
37600218370,384,384
37600218390,455,461
3760021841,1729,1736
37600218501,54,54
37600218600,167,167
37600218700,39,45
37600219150,0,
37600219160,313,313
37600219171,642,642
37600219200,0,
37600219220,349,353
37600219230,649,665
37600219240,148,148
37600219250,471,483
37600219270,268,268
37600219290,173,173
37600219300,264,264
37600219310,152,152
37600219330,1654,1654
37600219501,208,210
37600219800,0,
37600219860,0,
37600221500,46,46
37600221550,545,545
37600222700,0,
37600223250,0,
37600223260,0,
37600223450,244,244
37600223500,371,371
37600225002,0,
37600225200,802,802
37600225352,514,514
37600225750,661,663
37600226051,567,567
37600226251,1118,1121
37600226500,0,
37600227000,1058,1078
37600227100,221,232
37600227501,1570,1594
37600228001,274,281
37600228101,306,308
37600228503,401,406
37600229001,1,1
37600232200,675,683
37600232220,88,88
37600232500,0,
37600232520,726,726
37600233100,408,410
37600233180,87,87
37600235602,404,410
37600236050,955,977
37600236100,98,99
37600236251,816,816
37600236504,725,727
37600239000,624,633
37600239400,161,170
37600239500,726,735
37600239520,5,5
37600241510,7,7
37600241502,118,120
37600244600,202,202
37600245506,319,329
37600249002,553,553
