37600300011		
37600300020	1770	1770
37600300504		
37600301000	0	0
37600301200	415	417
37600301100	1177	1183
37600301508	337	339
37600301900	61	65
37600301950		
37600302007	657	660
37600302000	576	574
37600303001		
37600303501	1745	1748
37600303101		
37600303200		
37600303120	1062	1086
37600303150		
37600304002		
37600304100	59	59
37600305801	345	350
37600305820		
37600305900		
37600306002		
37600306201	146	149
37600306301		
37600307002		
37600307507		
37600307610		
37600307620	447	454
37600307640	575	585
37600307600		
37600307770		
37600308009		
37600308050		
37600308251		
37600308300		
37600309002		
37600309202		
37600309251		
37600309503		
37600310000		
37600310502		
37600311003	1932	1937
37600311254	978	983
37600311310		
37600311351		
37600311500		
37600311360		
37600311400	716	724
37600311460	759	0
37600311541	261	263
37600311462		
37600312004	197	197
37600312100		
37600313004		
37600312503	152	152
37600313503	681	694
37600314006	996	1003
37600314550	451	454
37600314500	365	368
37600314450		
37600314460	924	931
37600315001		
37600315230		
37600315501		
37600315540		
37600315550		
37600315601		
37600315660		
37600315700		
37600316005	2988	2997
37600316120		
37600316100	102	106
37600316502		
37600316700		
37600317201		
37600317550		
37600318001	1317	1324
37600318250		
37600319008		
37600319251	480	483
37600319505		
37600320000		
37600320502	600	627
37600320530		
37600320541	899	904
37600320570	92	104
37600320550		
37600321000		
37600321505		
37600322000	1682	1705
37600322500		
37600323010	228	228
37600324000		
37600324150	770	770
37600324510	24	24
37600324500	4182	4193
37600324601		
37600324850		
37600324800	2421	2450
37600325250		
37600325501	975	975
37600325270		
37600326000	1742	1742
37600327501		
37600328005	670	675
37600328100	277	279
37600328756		
37600329505	1295	1323
37600329400	412	416
37600333410		
37600329460	787	801
37600333505		
37600335010	99989	99989
37600335001	310	311
37600335501		
37600337550	339	339
37600337560		
37600337540	659	683
37600337600	487	502
37600337680		
37600337650		
37600337810		
37600337800	1281	1289
37600337815		
37600337890		
37600337860	36	40
37600338002	19	19
37600338040		
37600338050		
37600338250		
37600338100	978	984
37600338300		
37600338500	942	946
37600338600	2212	2236
37600338690	79	79
37600339530	1272	1272
37600339520		
37600339540		
37600339590	467	470
37600339560		
37600339550	226	229
37600340201	445	445
37600340301	821	821
37600340500	158	176
37600340410	471	480
37600340450		
37600340400		
37600340600	157	197
37600340700		
37600341020	369	384
37600341001	1729	1756
37600343002	371	375
37600343200		
37600343800		
37600344000	951	967
37600346001	14	18
37600346530		
37600346660	719	719
37600347020	9	11
37600347030		
37600347051	500	504
37600347080		
37600347501	1852	1867
37600348502	46	46
37600348900		
37600348800	644	647
