37600300504,1451,1546,95
37600301100,1114,1121,7
37600301200,360,367,7
37600301508,286,289,3
37600301900,41,42,1
37600302007,548,553,5
37600303101,34,37,3
37600303120,680,712,32
37600304002,86,89,3
37600304100,4317,4334,17
37600305801,262,267,5
37600307620,313,323,10
37600307640,407,416,9
37600311003,1779,1791,12
37600311254,828,835,7
37600311400,544,555,11
37600311460,631,639,8
37600311541,197,200,3
37600314460,456,463,7
37600314500,261,268,7
37600314550,410,411,1
37600316005,2768,2781,13
37600318001,1158,1169,11
37600320502,340,352,12
37600320541,838,842,4
37600322000,1216,1241,25
37600323010,172,177,5
37600324500,3903,3923,20
37600324800,1304,1400,96
37600325250,967,1007,40
37600325501,915,923,8
37600326000,1736,1737,1
37600328005,493,501,8
37600328100,199,207,8
37600329400,338,343,5
37600329460,480,495,15
37600329504,764,788,24
37600335001,237,243,6
37600337540,374,393,19
37600337600,178,194,16
37600337800,967,980,13
37600338100,922,927,5
37600338250,4316,4328,12
37600338500,863,871,8
37600339590,391,393,2
37600340201,288,296,8
37600340410,315,323,8
37600340450,717,730,13
37600340500,246,267,21
37600340600,888,906,18
37600341001,1251,1271,20
37600344000,599,617,18
37600346660,652,656,4
37600347020,151,152,1
37600347501,1649,1650,1
37600348800,476,485,9
