37600400010,0,,
37600400210,324,339,
37600400220,484,487,
37600400240,1101,1101,
37600400251,270,270,
37600400260,47,47,
37600400270,534,538,
37600400280,417,417,
37600400290,503,517,
37600400300,0,,
37600400320,0,,
37600400340,107,117,
37600400350,710,710,
37600400360,923,923,
37600400370,2210,2215,
37600400390,527,527,
37600400400,2616,2621,
37600400420,898,898,
37600400425,166,166,
37600400440,160,163,
37600400450,0,,
37600400460,969,980,
37600400470,582,588,
37600400480,928,932,
37600400490,0,,
37600400510,179,179,
37600400540,0,,
37600400751,3660,3686,
37600400780,514,519,
37600400800,1558,1563,
37600400810,1560,1579,
37600401755,582,594,
37600401760,181,194,
37600401770,970,978,
37600401780,0,,
37600402002,498,498,
37600402220,914,914,
37600402552,863,875,
37600402752,447,453,
37600403000,855,861,
37600403501,2257,2269,
37600403721,348,350,
37600403731,380,389,
37600404006,213,216,
37600404200,1434,1434,
37600404300,547,547,
37600405000,746,750,
37600405130,135,135,
37600405150,924,933,
37600405403,0,,
37600405451,969,981,
37600405461,1822,1829,
37600405500,524,527,
37600406000,2530,2540,
37600406550,1179,1179,
37600406604,542,546,
37600407300,687,687,
37600407451,315,315,
37600407502,649,670,
37600407522,139,142,
37600407602,537,537,
37600407610,0,,
37600407630,31,31,
37600407646,344,344,
37600407750,714,714,
37600408020,701,701,
37600408040,371,383,
37600408522,526,531,
37600410504,1696,1702,
37600411000,287,291,
37600411501,318,324,
37600412001,97,99,
37600412030,470,475,
37600412040,289,292,
37600413250,347,358,
37600413502,1708,1720,
37600415002,1283,1287,
37600416000,254,256,
37600416501,569,571,
37600417504,617,617,
37600417751,963,966,
37600418501,170,170,
37600420001,585,596,
37600420153,0,,
37600420180,3113,3113,
37600420501,0,,
37600420600,1244,1261,
37600420630,38,38,
37600420705,0,,
37600420706,717,726,
37600420720,1379,1379,
37600420751,628,634,
37600420760,750,750,
37600420781,321,321,
37600420790,352,358,
37600420800,1478,1494,
37600420810,213,223,
37600420820,764,768,
37600420841,267,267,
37600420860,38,43,
37600420870,0,0,
37600420900,1122,1122,
37600420910,27,32,
37600421600,336,340,
37600421700,374,385,
37600422001,844,844,
37600422505,392,395,
37600423000,2650,2657,
37600423500,2698,2707,
37600423770,3,3,
37600424001,,,
37600424501,1293,1293,
37600424550,354,358,
37600425100,3183,3184,
37600425200,1332,1346,
37600425400,243,247,
37600425501,327,331,
37600425601,130,154,
37600425600,0,,
37600426050,419,424,
37600427500,638,638,
37600428005,409,409,
37600428250,950,950,
37600428510,122,122,
37600428520,1560,1560,
37600428550,0,13,
37600429020,1035,1040,
37600429030,257,267,
37600429500,2652,2656,
37600430002,214,214,
37600430502,7174,7174,
37600430600,162,180,
37600430750,1190,1194,
37600430760,103,103,
37600430800,1733,1733,
37600430810,983,984,
37600430820,214,214,
37600431000,856,865,
37600431010,242,244,
37600431020,18,18,
37600431040,782,782,
37600431050,2858,2867,
37600431060,935,945,
37600431070,1297,1302,
37600431100,2064,2091,
37600431140,598,612,
37600431150,1854,1854,
37600431170,0,,
37600431200,375,380,
37600431220,61,72,
37600431271,693,693,
37600431280,348,353,
37600431300,188,189,
37600431400,712,712,
37600431450,131,131,
37600431460,69,69,
37600431701,0,,
37600431710,423,423,
37600433001,1597,1597,
37600433400,254,254,
37600433410,726,726,
37600433420,2451,2451,
37600433460,618,675,
37600433490,0,,
37600433510,4,6,
37600433520,1131,1136,
37600433554,0,,
37600433560,1544,1548,
37600433565,434,438,
37600433570,718,745,
37600433575,90,96,
37600433580,458,460,
37600433600,119,119,
37600433610,838,861,
37600433620,2042,2053,
37600433626,515,516,
37600433630,40,50,
37600433635,367,367,
37600433650,239,244,
37600433670,373,377,
37600433690,500,510,
37600433700,422,427,
37600433710,0,,
37600433720,0,,
37600433730,0,,
37600433745,410,410,
37600433750,1496,1502,
37600433760,246,246,
37600433770,550,550,
37600433780,1191,1193,
37600433785,46,46,
37600433820,2737,2739,
37600433870,587,587,
37600433880,199,205,
37600433890,206,207,
37600433900,448,453,
37600433912,599,603,
37600433920,1208,1208,
37600433940,160,160,
37600433941,3734,3735,
37600433945,97,0,M/CHNGED 6/23
37600433952,390,395,
37600433970,2643,2643,
37600434000,104,113,
37600434020,847,857,
37600434040,2026,2034,
37600434050,243,243,
37600434070,206,206,
37600434080,143,143,
37600434090,873,880,
37600434110,0,,
37600434111,137,144,
37600434120,577,583,
37600434151,0,,
37600434180,389,389,
37600434181,736,753,
37600434185,140,140,
37600434190,2011,2012,
37600434200,761,764,
37600434210,587,597,
37600434220,2006,2006,
37600434230,1167,1169,
37600434240,354,357,
37600434260,261,264,
37600434270,350,350,
37600434280,337,341,
37600434300,148,150,
37600434310,178,186,
37600434330,1421,1424,
37600434350,606,608,
37600434370,0,,
37600434501,3184,3204,
37600434540,676,680,
37600434550,165,165,
37600434570,149,149,
37600434750,101,102,
37600434760,740,743,
37600434780,151,226,
