37601016770,147,147
37601016790,224,227
37601016980,53,57
37601016990,275,278
37601017000,103,106
37601017010,788,793
37601017015,306,309
37601017025,236,237
37601017030,398,400
37601017035,986,994
37601017040,267,273
37601017045,220,220
37601017060,139,148
37601017070,600,614
37601017080,261,264
37601017090,8,8
37601017101,236,239
37601017110,908,914
37601017120,236,236
37601017140,780,780
37601017160,1659,1664
37601017185,897,902
37601017200,1464,1464
37601017210,243,243
37601017220,189,194
37601017255,1141,1147
37601017290,163,168
37601017300,72,74
37601017309,91,91
37601017310,343,343
37601017320,373,373
37601017340,19,25
37601017400,668,670
37601017410,327,327
37601017420,414,414
37601017430,1123,1123
37601017435,858,867
37601017450,501,504
37601017460,1186,1198
37601017470,330,334
37601017490,111,115
37601017500,397,397
37601017510,1230,1239
37601017515,253,253
37601017590,50,53
37601017610,0,3
37601017920,0,4
37601017990,26,26
37601018010,279,286
37601018020,440,442
37601018035,1263,1263
37601018040,0,2
37601018050,106,106
37601018060,175,178
37601018120,818,823
37601018160,457,462
37601018180,670,675
37601018190,462,479
37601018240,198,207
37601018250,133,133
37601018220,1486,1493
37601018260,61,64
37601018270,3,7
37601018290,220,225
37601018551,1313,1323
37601019000,450,450
37601019070,184,187
37601019080,104,106
37601019090,245,249
37601019100,482,482
37601020300,0,3
37601020500,410,410
37601020630,709,709
37601020680,539,543
37601020800,772,778
37601021010,69,75
37601021100,0,4
37601021200,501,511
37601025100,253,253
37601025130,153,153
37601026400,340,345
37601027000,155,155
37601030010,119,119
37601032000,1738,1742
37601032010,0,0
37601034080,510,526
37601036010,115,115
37601036020,57,100
37601038000,297,301
37601038050,218,218
37601038060,0,5
37601035080,209,209
37601041000,523,538
37601042000,260,260
37601042020,280,284
37601045000,1477,1483
