37600600502,798,798,
37600602340,315,315,
37600602371,2103,2123,
37600605500,23,23,
37600606900,300,300,
37600609000,3177,3178,
37600609231,1566,1572,
37600611500,89,90,
37600612003,2618,2623,
37600612550,627,642,
37600613000,195,197,
37600613051,342,351,
37600615500,367,367,
37600619503,1527,1564,
37600620750,421,435,
37600620780,1557,1567,
37600620810,986,986,
37600620840,309,309,
37600620880,735,742,
37600623000,6978,7000,
37600623100,163,163,
37600623300,560,568,
37600623600,529,541,
37600624300,136,137,
37600626300,810,815,
37600626350,224,227,
37600626380,1710,1710,
37600628100,564,564,
37600628121,24,33,
37600628150,146,153,
37600628372,576,587,
37600628470,452,459,
37600628501,648,662,
37600628540,1428,1428,
37600628760,666,672,
37600629500,1006,1012,
37600630270,124,124,
37600630706,949,954,
37600633500,1166,1166,
37600633911,582,585,
37600633940,504,504,
37600633980,154,154,
37600634501,591,594,
37600636020,1748,1769,
37600636030,33,43,
37600636050,338,338,
37600637200,163,163,
37600637750,671,671,
37600637851,320,320,
37600637861,1313,1313,
37600637880,282,289,
37600638000,16,27,
37600638100,1355,1355,
37600638611,94,94,
37600638660,880,896,
37600639520,174,175,
37600639750,813,820,
37600640300,3759,3759,
37600640330,153,153,
37600640370,759,766,
37600641000,1189,1189,
37600641100,1959,1964,
37600643351,20,20,
37600643740,918,932,
37600643750,20,20,
37600643760,1288,1299,
37600643780,2652,2667,
37600643790,1475,1488,
37600643795,478,485,
37600643921,1260,1270,
37600643930,114,114,
37600644151,748,752,
37600644300,756,756,
37600644350,232,235,
37600644550,228,229,
37600644600,405,409,
37600644620,612,612,
37600646510,441,447,
37600649140,3475,3475,
37600649260,1073,1074,
37600649330,141,141,
37600649360,45,45,
37600649390,34,47,
37600649402,1292,1308,
37600649450,324,324,
37600649461,535,535,
37600650000,635,635,
37600650050,1485,1494,
37600650080,16,23,
37600650150,627,627,
37600650180,2126,2149,
37600650300,1,3,
