37600300011;2035;2035
37600300504;1451;1546
37600301100;1114;1121
37600301200;360;367
37600301508;286;289
37600301900;41;42
37600302007;548;553
37600303101;34;37
37600303120;680;712
37600304002;86;89
37600304100;4317;4334
37600305801;262;267
37600307620;313;323
37600307640;407;416
37600311003;1779;1791
37600311254;828;835
37600311400;544;555
37600311460;631;639
37600311541;197;200
37600313503;494;494
37600314006;819;819
37600314460;456;463
37600314500;261;268
37600314550;410;411
37600316005;2768;2781
37600316100;83;83
37600318001;1158;1169
37600320502;340;352
37600320541;838;842
37600322000;1216;1241
37600323002;4;4
37600323010;172;177
37600324500;3903;3923
