PF0057,CLAMP GI 20MM,2,35,PC,0,B3,PIPESAND FITTINGS\
PF0058,GLIP G.I 1",2,100,PC,0,B3,PIPESAND FITTINGS\
PF0059A,CONDUCTOR METER HOUSING,0,0,PC,0,E5,PIPESAND FITTINGS\
PF0059B,COMPARATOR TEST TUBE,2,3600,PC,0,,PIPESAND FITTINGS\
PF0060,COMPLETE COUPLING G.I 4",1,702,PC,0,E5,PIPESAND FITTINGS\
PF0061,COUPLING C/W 2 3/8,4,200,PC,0,E5,PIPESAND FITTINGS\
PF0062,COUPLING L - 37003  MOTOR Pump,3,0,PC,0,BOX M,PIPESAND FITTINGS\
PF0063,COUPLING SWN W1/E10,6,0,PC,0,E6,PIPESAND FITTINGS\
PF0064A,COUPLING VJ 110MM,4,5220,PC,0,G4,PIPESAND FITTINGS\
PF0064B,COUPLING VJ DN. 200 225MM DI,3,11000,PC,0,G4,PIPESAND FITTINGS\
PF0065,COUPLING VJ D.I 315 - 326 MM,3,13340,PC,1,G5,PIPESAND FITTINGS\
PF0066,DEWATERING PUMP COUPLING W1/E11,5,0,PC,0,E6,PIPESAND FITTINGS\
PF0067,DUCTILE SOCKET ADAPTOR COUPLING D.I DN 100 X 100MM,8,6380,PC,2,G5,PIPESAND FITTINGS\
PF0068,DUCTILE SOCKET ADAPTOR COUPLING  DN 160 X 150MM,5,6380,PC,1,G5,PIPESAND FITTINGS\
PF0069A,DOUBLE FLENGE 100MM X 1M LONG,1,10200,PC,0,D5,PIPESAND FITTINGS\
PF0069B,DOUBLE FLENGE 100MM X 4.73M,0,0,PC,0,,PIPESAND FITTINGS\
PF0070,DOUBLE FLENGE BEND DN. 90MM BLUE,5,2500,PC,0,G4,PIPESAND FITTINGS\
PF0071,DOUBLE FLENGE PIPE DN. 150MM X 3M,2,22040,PC,0,Y/STORE,PIPESAND FITTINGS\
PF0072,DOUBLE FLENGE PIPE DN. 300MM X 0.3M,2,25000,PC,0,K5,PIPESAND FITTINGS\
PF0073,DOUBLE FLENGE PIPE  300MM X 3M,1,30000,PC,0,Y/STORE,PIPESAND FITTINGS\
PF0074,DOUBLE FLENGE PIPE  - NOTCHED BLUE,4,0,PC,0,PYI,PIPESAND FITTINGS\
PF0075,DOUBLE FLENGED REDUCERS DN. 100MM X 80MM,2,2500,PC,0,K4,PIPESAND FITTINGS\
PF0076,DOUBLE FLENGED REDUCERS DN. 150MM X 100MM,3,8000,PC,0,K4,PIPESAND FITTINGS\
PF0077,DOUBLE FLENGED REDUCERS  225MM X 150MM,2,12000,PC,0,K5,PIPESAND FITTINGS\
PF0078,DOUBLE FLENGED WATER METER DN.80MM,0,0,PC,0,E4,PIPESAND FITTINGS\
PF0079,D - SHACKLE G.I 1/4,11,60,PC,0,B3,PIPESAND FITTINGS\
PF0080,D - SHACKLE G.I 1 1/2,4,120,PC,0,B3,PIPESAND FITTINGS\
PF0082,DOUBLE SOCKET UPVC 63MM X63MM,0,0,PC,0,E6,PIPESAND FITTINGS\
PF0083A,DPD TABLET,2500,30,PC,10,DR9,PIPESAND FITTINGS\
PF0083B,DPD PH TABLET,450,0,PC,0,DR9,PIPESAND FITTINGS\
PF0083C,DPD PH /CL POOLTESTER KIT,1,0,PC,0,DR9,PIPESAND FITTINGS\
PF0084,DOZZING NOZZLES - STAINLESS STEEL,3,1900,PC,0,F1,PIPESAND FITTINGS\
PF0085,ELBOW G.I 1/2,19,29,PC,9,B3,PIPESAND FITTINGS\
PF0086,ELBOW G.I 3/4,14,41,PC,9,D3,PIPESAND FITTINGS\
PF0087,ELBOW G.I 1",12,58,PC,9,B3,PIPESAND FITTINGS\
PF0088,ELBOW G.I  1 1/4,10,75,PC,0,B3,PIPESAND FITTINGS\
PF0089,ELBOW G.I 1 1/2,4,100,PC,0,B3,PIPESAND FITTINGS\
PF0090,ELBOW G.I 2,7,160,PC,0,B3,PIPESAND FITTINGS\
PF0091,ELBOW G.I 3,5,725,PC,0,B3,PIPESAND FITTINGS\
PF0092,ELBOW UPVC 1/2,4,12,PC,9,C5,PIPESAND FITTINGS\
PF0093,ELBOW UPVC 3/4,11,40,PC,3,C5,PIPESAND FITTINGS\
PF0094A,ELBOW UPVC 1,3,46.4,PC,4,C5,PIPESAND FITTINGS\
PF0094B,ELBOW UPVC 1 1/4  WASTE,1,50,PC,0,C5,PIPESAND FITTINGS\
PF0095,ELBOW UPVC 2,0,219.54,PC,10,C5,PIPESAND FITTINGS\
PF0096,ELBOW UPVC 3,0,580,PC,1,C5,PIPESAND FITTINGS\
PF0097,ELBOW UPVC 6,6,1634,PC,2,C4,PIPESAND FITTINGS\
PF0098,END CAP G.I 3/4,49,33,PC,10,B2,PIPESAND FITTINGS\
PF0099,END CAP G.I 1,12,53,PC,10,B2,PIPESAND FITTINGS\
PF00100,END CAP G.I 2,14,92.8,PC,5,B3,PIPESAND FITTINGS\
PF00101A,END CAP G.I 4,5,278,PC,3,B2,PIPESAND FITTINGS\
PF00101B,END CAP PVC 3/4,6,40,PC,0,,PIPESAND FITTINGS\
PF00102,END CAP UPVC 125MM,1,500,PC,1,C5,PIPESAND FITTINGS\
PF00103,END CAP UPVC 2 1/4,1,500,PC,1,C5,PIPESAND FITTINGS\
PF00104,EQUAL TEE G.I 1/2,0,24,PC,5,B2,PIPESAND FITTINGS\
PF00105,EQUAL TEE G.I 3/4,15,39.15,PC,7,B2,PIPESAND FITTINGS\
PF00106A,EQUAL TEE G.I  1,0,60.9,PC,10,B2,PIPESAND FITTINGS\
PF00106B,EQUAL TEE G.I  1 X 1/2,0,93.96,PC,6,B2,PIPESAND FITTINGS\
PF00106C,EQUAL TEE G.I  1 X 3/4,4,93.96,PC,6,B2,PIPESAND FITTINGS\
PF00107,EQUAL TEE G.I 1 1/4,2,19.6,PC,1,B2,PIPESAND FITTINGS\
PF00108,EQUAL TEE G.I 1 1/2,1,140,PC,1,B2,PIPESAND FITTINGS\
PF00109,EQUAL TEE G.I 2,4,208.8,PC,3,B2,PIPESAND FITTINGS\
PF00110,EQUAL TEE G.I 2 X 1/2,0,217.5,PC,12,C4,PIPESAND FITTINGS\
PF00111,EQUAL TEE G.I  2 x 3/4,0,232,PC,10,B2,PIPESAND FITTINGS\
PF00112,EQUAL TEE G.I 2 X 1,15,217.5,PC,10,B2,PIPESAND FITTINGS\
PF00113,EQUAL TEE G.I  2 1/2 X 2,1,250,PC,1,B2,PIPESAND FITTINGS\
PF0014,EQUAL TEE G.I  2 1/2 X 2 1/2,3,250,PC,1,B2,PIPESAND FITTINGS\
PF00115,EQUAL TEE G.I  3,1,709.92,PC,2,B2,PIPESAND FITTINGS\
PF00116A,EQUAL TEE UPVC 1/2,0,30,PC,0,B2,PIPESAND FITTINGS\
PF00116B,EQUAL TEE UPVC 3/4,10,34.8,PC,4,B2,PIPESAND FITTINGS\
PF00116C,EQUAL TEE UPVC  1,0,47.85,PC,4,B2,PIPESAND FITTINGS\
PF00116D,EQUAL TEE  UPVC 1 1/4,1,150,PC,1,C5,PIPESAND FITTINGS\
PF00117,EQUAL TEE UPVC  1 1/2,4,150,PC,2,C5,PIPESAND FITTINGS\
PF00118,EQUAL TEE UPVC  2,4,300,PC,6,C5,PIPESAND FITTINGS\
PF00119A,EQUAL TEE UPVC 2 X 1,9,417.6,PC,2,C4,PIPESAND FITTINGS\
PF00119B,EQUAL TEE UPVC 2 X 3/4,9,438.48,PC,2,C4,PIPESAND FITTINGS\
PF00119C,EQUAL TEE UPVC 2 X 1/2,22,556.8,PC,2,C4,PIPESAND FITTINGS\
PF00119D,EQUAL TEE UPVC 3,3,385,PC,2,C4,PIPESAND FITTINGS\
PF00119E,EXPOXY,0,200,PC,0,C4,PIPESAND FITTINGS\
PF00120,FABRICATED MANHOLE COVER,1,400,PC,1,B4,PIPESAND FITTINGS\
PF00121A,FLENNGED ADAPTOR COUPLING 315MM,2,16440,PC,1,H4,PIPESAND FITTINGS\
PF00121B,FLENGED BELL MOUTH DN 150MM,1,0,PC,1,H4,PIPESAND FITTINGS\
PF00122,FLENGED BELL MOUTH DN 3000MM/315MM,1,0,PC,1,L3,PIPESAND FITTINGS\
PF00123,FLENGED GASKET 2,19,0,PC,10,B3,PIPESAND FITTINGS\
PF00124,FLENGE G.I 2  63MM,26,0,PC,10,H5,PIPESAND FITTINGS\
PF00125A,FLENGED ELBOW DN 80MM BLACK,1,4000,PC,1,PYI,PIPESAND FITTINGS\
