STOCK  WORKSHEET AS AT  2022-05-13
ITEM NO , CODE ,  ITEM  , UNITS , CATEGORY , LOCATION , QUANTITY , UNIT PRICE , VALUE , PHYSICAL COUNT ,  DIFFERENCE , REMARKS
48,MC0038,CHAIN AND SPROCKET KIT DT 125 3TT- W001A-00,KIT,MOTOR CYCLE SPARES,L3,2,"9,011.45","18,022.90"
49,MC0039A,CHAIN AND SPROCKET KIT 3TT- 5VLW001A-00 CRUX,KIT,MOTOR CYCLE SPARES,L3,2,"7,797.79","15,595.58"
50,MC0039B,CHAIN AND SPROCKET KIT HONDA,KIT,MOTOR CYCLE SPARES,L3,0,"1,800.00",0.00
51,MC0039C,CHEST GUARDS,PC,MOTOR CYCLE SPARES,L3,0,500.00,0.00
52,MC0040A,CLUTCH CABLE 5VL - 76335-03,PC,MOTOR CYCLE SPARES,L3,0,"1,209.55",0.00
53,MC0040B,CLUTCH CABLEV 18G  - 26335-00,PC,MOTOR CYCLE SPARES,L3,2,"1,362.18","2,724.36"
54,MC0041,CLUTCH BOSS 18G - 16371-00,PC,MOTOR CYCLE SPARES,L3,2,464.70,929.40
55,MC0042A,CLUTCH FRICITION PLATE 18G,PC,MOTOR CYCLE SPARES,L3,0,60.00,0.00
56,MC0042B,CLUTCH FRICITION PLATE 5VLE6321-00,PC,MOTOR CYCLE SPARES,L1,3,553.16,"1,659.48"
57,MC0043,CLUTCH LEVER 2HO - 83912-30,PC,MOTOR CYCLE SPARES,L3,0,947.39,0.00
58,MC0044,CLUTCH METER 18- 325149-00,PC,MOTOR CYCLE SPARES,L3,3,106.72,320.16
59,MC0045A,CLUTCH PLATE 1V1 - 16324-00,PC,MOTOR CYCLE SPARES,L3,5,661.00,"3,305.00"
60,MC0045B,CLUTCH PLATE 5VLE6324-00,PC,MOTOR CYCLE SPARES,L3,3,243.41,730.23
61,MC0046,COIL PULSER 18G - 85580-21,PC,MOTOR CYCLE SPARES,L3,1,"1,500.00","1,500.00"
62,MC0047A,CONROD KIT ASSY 4Y2 - 11650-00,PC,MOTOR CYCLE SPARES,L3,1,"3,204.00","3,204.00"
63,MC0047B,CONNECTOR CABLE 3J026,PC,MOTOR CYCLE SPARES,L3,0,219.93,0.00
64,MC0048,COVER SIDE - NO.1  18G - 217201010Y,PC,MOTOR CYCLE SPARES,L3,0,"3,260.00",0.00
65,MC0049,COVER SIDE - NO.2  18G - 217201010Y,PC,MOTOR CYCLE SPARES,L3,0,"3,509.77",0.00
66,MC0050,CRANK CASE COVER 18G - 15431 -00,PC,MOTOR CYCLE SPARES,L3,4,"1,172.70","4,690.80"
67,MC0051,CRANK COVE GASKET 2A6 - 1545 5-01,PC,MOTOR CYCLE SPARES,L3,1,100.00,100.00
68,MC0052,CYLINDER GASKET 18G - 11351 -02,PC,MOTOR CYCLE SPARES,L3,1,182.93,182.93
69,MC0053,CYLINDER  HEAD GASKET 1W - 11181 -00,PC,MOTOR CYCLE SPARES,L3,0,373.82,0.00
70,MC0054,DASH BOARD ASSY.,PC,MOTOR CYCLE SPARES,L3,0,"1,994.04",0.00
71,MC0055,EMBLEM 4J3 - 21786 -20,PC,MOTOR CYCLE SPARES,L3,6,34.96,209.76
72,MC0056A,ENGINE CASSING YD 110 YAMAHA CRUX,PC,MOTOR CYCLE SPARES,L3,0,"5,500.00",0.00
73,MC0056B,EXHAUST ASSY,PC,MOTOR CYCLE SPARES,L3,0,"15,000.00",0.00
74,MC0057,FLASHER BULBS 6V/18W 1158331160,pc,MOTOR CYCLE SPARES,L3,8,423.74,"3,389.92"
75,MC0058,FILLAR GAUGE 1708 AS / 20,PC,MOTOR CYCLE SPARES,L3,1,940.00,940.00
76,MC0059,FLASHER BULBS 12VOLT,PC,MOTOR CYCLE SPARES,L5,0,30.00,0.00
77,MC0060,FLASHER RELAY,PC,MOTOR CYCLE SPARES,L3,2,"3,092.62","6,185.24"
78,MC0061A,FRONT  FLASHER 189G- 833330 -01,PC,MOTOR CYCLE SPARES,L3,3,"2,348.75","7,046.25"
79,MC0061B,FRONT FLASHER 5VLF2 - YBR,PC,MOTOR CYCLE SPARES,,2,"1,407.39","2,814.78"
80,MC0062A,FRONT FOLK OIL SEAL YB,PC,MOTOR CYCLE SPARES,L3,7,331.90,"2,323.30"
81,MC0062B,FRONT FOLK FITTINGS HONDA 125CC,PC,MOTOR CYCLE SPARES,L3,0,900.00,0.00
82,MC0063,FRONT SPROCKET 36T - 1811 - 00,PC,MOTOR CYCLE SPARES,L3,2,500.00,"1,000.00"
83,MC0064,FRONT SPOKES 401 - 25304 -20,PC,MOTOR CYCLE SPARES,L3,70,88.00,"6,160.00"
84,MC0065,FRONT TYRE  CRUX,PC,MOTOR CYCLE SPARES,L3,0,"2,000.00",0.00
85,MC0066A,FRONT TUBES 275 X 21,PC,MOTOR CYCLE SPARES,L3,0,400.00,0.00
86,MC0066B,FRONT TUBE 275 X 17,PC,MOTOR CYCLE SPARES,DR16,0,300.00,0.00
